
Created stats file	-> dumps\pt_20221201_002531\stats.csv

TRAINING 200 EPOCHS...

     epoch train_loss  train_acc   train_f1   val_loss    val_acc     val_f1
         0    0.39496    0.86773   0.867687   0.045932   0.989103   0.989079
         1   0.363922    0.86941   0.869454   0.035581   0.992456   0.992469
         2    0.34217   0.881377   0.881306   0.077801   0.968986   0.968387
         3   0.375393    0.87025   0.869915    0.04202    0.99078   0.990781
         4    0.36215    0.87004   0.869972   0.035811   0.989103   0.989078
         5   0.364009   0.874869   0.874724   0.062395   0.974853   0.975014
         6   0.366564   0.877598   0.877519   0.022373   0.996647   0.996644
         7   0.352127   0.883687   0.883531   0.033254   0.997485   0.997485
         8   0.338085   0.883267   0.883293   0.043794   0.979044   0.979121
         9   0.318209   0.889775   0.889633   0.037784   0.991618   0.991571
        10    0.33916   0.883897   0.883883   0.029568   0.989941   0.989954
        11   0.332979   0.888096   0.887821   0.034842    0.99078    0.99077
        12   0.349234   0.883057   0.882881   0.038721   0.987427   0.987517
        13   0.303501   0.896284   0.896227   0.030301    0.99078   0.990778
        14   0.338237   0.887886   0.887941   0.023866   0.996647   0.996646
        15   0.297034   0.898383   0.898318   0.025853   0.997485   0.997486
        16   0.314872   0.891245   0.891098    0.03387   0.992456   0.992469
        17   0.308189   0.895024   0.894938   0.032192   0.987427   0.987536
        18   0.318236   0.889145   0.888828   0.044536   0.983236   0.983408
        19   0.342383   0.888096   0.888153   0.036228   0.988265   0.988245
        20   0.328428   0.887256    0.88712   0.029843   0.992456   0.992463
        21   0.313854   0.898803   0.898655   0.035726   0.984912   0.984788
        22    0.32348   0.892715   0.892567   0.023297    0.99078   0.990795
        23   0.293127   0.893974   0.893924   0.036283   0.987427   0.987475
        24   0.296987   0.898803   0.898599   0.033884    0.99078   0.990792
        25   0.304544   0.896494   0.896386   0.025342   0.994132   0.994133
        26   0.322291   0.889985   0.889841   0.021084   0.997485   0.997486
        27   0.294836   0.903422   0.903225   0.027377   0.991618   0.991636
        28   0.295615   0.895024   0.894995   0.027223   0.989941   0.989914
        29   0.300427   0.898593   0.898471   0.031937   0.986588   0.986708
        30   0.299185   0.902582   0.902416   0.037839   0.989941   0.989926
        31   0.282076   0.907621   0.907546   0.030132   0.995809   0.995807
        32   0.300686   0.898803   0.898811   0.039583   0.991618   0.991638
        33   0.316499   0.896074   0.896057   0.020686   0.995809   0.995805
        34   0.329353   0.889355   0.889293   0.016072   0.995809   0.995809
        35   0.281897   0.905102   0.905073   0.024189   0.996647   0.996648
        36   0.327038   0.890825   0.890765   0.023678   0.995809   0.995803
        37   0.303735   0.898173   0.897956   0.020474   0.996647   0.996647
        38   0.284582   0.903632   0.903456   0.020475   0.994132   0.994129
        39   0.297601   0.901743    0.90159   0.017765   0.995809   0.995807
        40   0.317797   0.893974   0.893774   0.026004   0.994971   0.994961
        41   0.328148   0.892295   0.892278   0.028437   0.989103   0.989163
        42   0.333517   0.889775   0.889622   0.038358   0.982397    0.98221
        43   0.312199   0.899013   0.899052   0.017953   0.997485   0.997486
        44   0.309283   0.900693    0.90056   0.016241   0.996647   0.996647
        45   0.302936   0.904682   0.904463   0.023098    0.99078   0.990806
        46   0.283098   0.908461   0.908364   0.019719   0.997485   0.997486
        47   0.313545   0.896074   0.895916    0.01761   0.997485   0.997485
        48   0.282261   0.904892   0.904762   0.020648   0.997485   0.997485
        49   0.314522   0.896914   0.896911   0.023144   0.987427   0.987535
        50   0.312525   0.900483   0.900472   0.021416    0.99078   0.990782
        51   0.285386   0.906781   0.906611   0.032188   0.989941   0.989935
        52   0.341595   0.888516   0.888441   0.012583   0.997485   0.997486
        53   0.325433   0.892295   0.892251   0.027338   0.991618   0.991572
        54    0.31891   0.898593    0.89839   0.024427   0.991618   0.991646
        55   0.298739   0.900063   0.899989   0.018512   0.993294   0.993304
        56   0.304746   0.898803   0.898733   0.037369   0.984912   0.984976
        57   0.316569   0.897544   0.897455   0.025856   0.991618   0.991628
        58   0.334551   0.886836   0.886743   0.034229    0.99078   0.990757
        59   0.287441   0.906571   0.906452   0.023007   0.994971   0.994972
        60   0.294002   0.902163   0.902096    0.03023   0.992456   0.992449
        61   0.305776   0.899643   0.899458   0.023663   0.989941   0.989987
        62   0.302817   0.899013   0.898964    0.02144   0.996647   0.996645
        63   0.307497   0.893974     0.8938   0.022189   0.994971    0.99497
        64   0.304203   0.900903   0.900756   0.026945   0.991618   0.991637
        65   0.300703   0.899433   0.899407   0.022292    0.99078   0.990775
        66   0.306412   0.896074   0.896028     0.0256   0.993294   0.993304
        67   0.300645   0.897544   0.897649   0.042369   0.979883    0.97975
        68   0.303853   0.903002   0.902976   0.023629   0.992456   0.992461
        69   0.307325   0.903002   0.902867   0.034403   0.984912   0.984822
        70   0.297349   0.904892   0.904833   0.020885   0.996647   0.996647
        71   0.301578   0.901533   0.901635    0.02314   0.994132   0.994125
        72    0.28789   0.899643   0.899623   0.022909   0.991618   0.991643
        73   0.303115   0.903002   0.903001   0.018331   0.995809   0.995809
        74   0.265324   0.906571   0.906434   0.024309   0.994132   0.994131
        75   0.297177   0.898593   0.898501   0.039433   0.986588   0.986675
        76   0.305674   0.899433   0.899455   0.033392   0.991618   0.991603
        77   0.286969   0.908251   0.908155   0.026282   0.989941   0.989989
        78   0.275359   0.908251   0.908266   0.039269   0.984074   0.983927
        79   0.290224   0.904052   0.903993   0.035708   0.989103   0.989101
        80   0.275194   0.906781   0.906855   0.022103   0.996647   0.996645
        81   0.287197   0.899643   0.899592   0.028739   0.994132    0.99413
        82   0.280763    0.91119   0.911133   0.023066   0.994971    0.99496
        83   0.293012   0.902372   0.902267   0.024833   0.995809   0.995803
        84   0.299952   0.899643   0.899564    0.02231   0.994971   0.994962
        85   0.286438   0.903422   0.903369   0.016521   0.995809   0.995803
        86   0.296951   0.902582    0.90252   0.026751    0.99078   0.990795
        87   0.290343   0.903212   0.903118   0.031038   0.989103   0.989107
        88   0.291159   0.907831   0.907725   0.050454   0.984074   0.984189
        89   0.314047   0.898593   0.898472   0.027974   0.994971   0.994975
        90   0.328072   0.896074   0.896047   0.042424   0.989103   0.989146
        91   0.305631   0.897963   0.897849   0.023294   0.994971   0.994969
        92   0.275321   0.904052   0.904158   0.021432   0.997485   0.997485
        93   0.275048   0.906781   0.906681   0.018153   0.997485   0.997485
        94    0.30186   0.905312   0.905151   0.023159   0.989103   0.989043
        95    0.29868   0.901533   0.901526   0.021332   0.995809   0.995809
        96   0.278993   0.905942   0.905901   0.022911   0.996647   0.996647
        97   0.273936   0.905102   0.905026   0.027038   0.993294   0.993282
        98   0.290414   0.906152   0.906071   0.018833   0.994971   0.994963
        99   0.295719   0.900693   0.900557   0.024648   0.991618   0.991615
       100   0.266781   0.910141   0.910112    0.02926   0.994132   0.994123
       101   0.302184   0.902582   0.902606   0.019893   0.995809   0.995804
       102   0.276466   0.904472   0.904409   0.017543   0.997485   0.997485
       103   0.292156   0.906781   0.906744   0.016151   0.996647   0.996647
       104   0.318767   0.897544   0.897692   0.039512   0.983236   0.983281
       105   0.281952    0.91329   0.913166   0.024089   0.994971   0.994964
       106   0.286603   0.907411   0.907335   0.017077   0.994971    0.99498
       107   0.300504   0.899013    0.89891   0.052273   0.975692   0.975451
       108   0.299195   0.904052   0.903952   0.027903   0.995809   0.995807
       109   0.262227    0.91119   0.911191   0.026287    0.99078   0.990797
       110   0.282253   0.910561   0.910519   0.021909   0.995809   0.995803
       111   0.287775   0.905942   0.905738   0.018251   0.997485   0.997486
       112   0.281736   0.908251   0.908089   0.014616   0.995809   0.995803
       113   0.293769   0.904262   0.904367   0.035448   0.988265   0.988219
       114    0.31866   0.903422    0.90323   0.034671   0.984912   0.984924
       115   0.284627   0.903632    0.90366   0.028011   0.988265   0.988299
       116   0.278745   0.908881   0.908796   0.051454   0.978206   0.977964
       117   0.279551   0.909721   0.909555   0.027357    0.98575   0.985834
       118   0.295469   0.902582   0.902583     0.0231   0.993294   0.993272
       119   0.285581   0.900693   0.900566   0.029641   0.993294   0.993298
       120   0.280993   0.909721   0.909619   0.046269   0.983236   0.983455
       121    0.32169   0.899643   0.899618   0.021982   0.995809   0.995803
       122   0.284148   0.907411   0.907377   0.021627    0.99078    0.99076
       123   0.255881    0.91434   0.914398   0.020691   0.996647   0.996646
       124   0.278136   0.904052   0.903917   0.029814    0.98575   0.985914
       125   0.286489   0.906991   0.906938   0.013086   0.997485   0.997486
       126   0.291475   0.908041   0.907964    0.01875   0.993294   0.993298
       127   0.316897   0.900693   0.900595   0.021964   0.993294   0.993301
       128   0.306215   0.899223   0.899181   0.031201   0.989103   0.989094
       129   0.294377   0.906362   0.906331   0.015583   0.995809   0.995804
       130   0.276247   0.909721   0.909698   0.026496   0.992456   0.992466
       131   0.285628   0.905312    0.90533    0.02695   0.993294    0.99329
       132   0.280914   0.908671   0.908623   0.020759   0.994971   0.994969
       133   0.311526   0.899223   0.899073   0.024033   0.993294   0.993298
       134   0.276624   0.910771   0.910722   0.029574   0.992456   0.992449
       135   0.300569   0.900063   0.899817   0.020845   0.993294   0.993301
       136   0.289198   0.905312    0.90523   0.015393   0.994132   0.994137
       137   0.264937   0.910141   0.910033   0.027687    0.99078   0.990798
       138   0.275457    0.91245   0.912423   0.016334   0.994132   0.994118
       139   0.287166   0.905522   0.905509   0.020214   0.994132   0.994137
       140   0.264417    0.91308   0.912866   0.018988   0.992456   0.992466
       141   0.278292     0.9114   0.911324   0.020709   0.995809   0.995804
       142   0.335465   0.894814   0.894652    0.01823   0.993294   0.993309
       143   0.278381   0.909091   0.909048   0.023021   0.994971   0.994975
       144   0.283095   0.902163   0.902125   0.026621    0.99078   0.990804
       145   0.269312    0.91245   0.912415    0.02427   0.994132   0.994137
       146   0.297262   0.904262   0.904126   0.023979   0.989941   0.989988
       147   0.272962    0.91371   0.913714   0.015578   0.994132   0.994137
       148   0.286604   0.907411   0.907243   0.012827   0.996647   0.996645
       149   0.267109    0.91182   0.911715   0.019495   0.996647   0.996645
       150   0.297349   0.903002   0.902956   0.016179   0.996647   0.996647
       151   0.300109   0.900483   0.900434   0.031915    0.99078   0.990738
       152   0.281604   0.905942   0.905826   0.030954   0.987427   0.987507
       153    0.29094   0.904052   0.903988   0.027768   0.989103   0.989121
       154   0.262002    0.91287   0.912806   0.021686   0.994132   0.994129
       155   0.283346   0.907831   0.907645   0.030852   0.989941   0.989975
